,reportedCity,dateOfLoss,elevatedBuildingIndicator,floodZone,latitude,longitude,lowestFloodElevation,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,yearofLoss,reportedZipcode,id
17249,HOUSTON,2015-05-26T00:00:00.000Z,True,AE,29.9,-95.4,71.0,0.0,,2015-01-01T00:00:00.000Z,77037,5e398da174cbd479fc8d97d3
17250,HOUSTON,2017-01-18T00:00:00.000Z,True,AE,29.9,-95.4,71.0,1057.74,,2017-01-01T00:00:00.000Z,77037,5e398da174cbd479fc8d97d4
17251,HOUSTON,2017-08-26T00:00:00.000Z,True,AE,29.9,-95.4,71.0,6405.38,,2017-01-01T00:00:00.000Z,77037,5e398da174cbd479fc8d97d5
17252,HOUSTON,2017-08-27T00:00:00.000Z,False,X,29.6,-95.2,,35689.22,0.0,2017-01-01T00:00:00.000Z,77089,5e398da174cbd479fc8d97df
17253,HOUSTON,2017-08-26T00:00:00.000Z,False,AE,29.7,-95.5,63.0,166097.87,100000.0,2017-01-01T00:00:00.000Z,77071,5e398da174cbd479fc8d97f3
17254,HOUSTON,2017-08-27T00:00:00.000Z,False,AE,29.9,-95.4,85.0,19818.59,,2017-01-01T00:00:00.000Z,77032,5e398da174cbd479fc8d97f9
17255,HOUSTON,2017-08-27T00:00:00.000Z,False,AE,29.9,-95.4,78.0,23590.62,,2017-01-01T00:00:00.000Z,77032,5e398da174cbd479fc8d97fa
17256,HOUSTON,2017-08-27T00:00:00.000Z,False,AE,29.7,-95.4,,82588.95,,2017-01-01T00:00:00.000Z,77025,5e398da174cbd479fc8d9807
17257,HOUSTON,2015-05-25T00:00:00.000Z,True,AE,29.7,-95.5,58.0,6992.57,,2015-01-01T00:00:00.000Z,77096,5e398da174cbd479fc8d9808
17258,HOUSTON,2017-08-27T00:00:00.000Z,False,AE,29.9,-95.4,78.0,23133.44,,2017-01-01T00:00:00.000Z,77032,5e398da174cbd479fc8d9809
17259,HOUSTON,2017-08-17T00:00:00.000Z,False,AE,29.7,-95.6,83.0,0.0,0.0,2017-01-01T00:00:00.000Z,77082,5e398da174cbd479fc8d980a
17260,HOUSTON,2014-08-01T00:00:00.000Z,False,X,29.7,-95.4,,18415.95,10542.24,2014-01-01T00:00:00.000Z,77004,5e398da174cbd479fc8d9811
